group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single-col,,,,,83291578.0,ns,1
single-col,,,,,75857728.0,ns,1
single-col,,,,,69236559.0,ns,1
single-col,,,,,66820835.0,ns,1
single-col,,,,,65732699.0,ns,1
single-col,,,,,65341003.0,ns,1
single-col,,,,,64361183.0,ns,1
single-col,,,,,65978716.0,ns,1
single-col,,,,,65965280.0,ns,1
single-col,,,,,65284354.0,ns,1
single-col,,,,,64634721.0,ns,1
single-col,,,,,64140963.0,ns,1
single-col,,,,,62659973.0,ns,1
single-col,,,,,62352190.0,ns,1
single-col,,,,,65279903.0,ns,1
single-col,,,,,66552157.0,ns,1
single-col,,,,,66247859.0,ns,1
single-col,,,,,66919178.0,ns,1
single-col,,,,,65174200.0,ns,1
single-col,,,,,64943634.0,ns,1
single-col,,,,,63248549.0,ns,1
single-col,,,,,62865423.0,ns,1
single-col,,,,,63834893.0,ns,1
single-col,,,,,64559227.0,ns,1
single-col,,,,,63944162.0,ns,1
single-col,,,,,64186165.0,ns,1
single-col,,,,,63227108.0,ns,1
single-col,,,,,62830481.0,ns,1
single-col,,,,,62803862.0,ns,1
single-col,,,,,62742870.0,ns,1
single-col,,,,,62417586.0,ns,1
single-col,,,,,62594251.0,ns,1
single-col,,,,,62894372.0,ns,1
single-col,,,,,63184138.0,ns,1
single-col,,,,,63174481.0,ns,1
single-col,,,,,64161453.0,ns,1
single-col,,,,,63322366.0,ns,1
single-col,,,,,62930620.0,ns,1
single-col,,,,,64109199.0,ns,1
single-col,,,,,63639465.0,ns,1
single-col,,,,,63529640.0,ns,1
single-col,,,,,64527228.0,ns,1
single-col,,,,,63761072.0,ns,1
single-col,,,,,63267955.0,ns,1
single-col,,,,,63495426.0,ns,1
single-col,,,,,63918848.0,ns,1
single-col,,,,,63059794.0,ns,1
single-col,,,,,62885585.0,ns,1
single-col,,,,,62636971.0,ns,1
single-col,,,,,62019412.0,ns,1
single-col,,,,,61209260.0,ns,1
single-col,,,,,61611967.0,ns,1
single-col,,,,,62429323.0,ns,1
single-col,,,,,64343391.0,ns,1
single-col,,,,,64475552.0,ns,1
single-col,,,,,64304397.0,ns,1
single-col,,,,,63572843.0,ns,1
single-col,,,,,63063094.0,ns,1
single-col,,,,,63299614.0,ns,1
single-col,,,,,63188849.0,ns,1
single-col,,,,,62924487.0,ns,1
single-col,,,,,63384631.0,ns,1
single-col,,,,,63067331.0,ns,1
single-col,,,,,63715996.0,ns,1
single-col,,,,,63145373.0,ns,1
single-col,,,,,62802120.0,ns,1
single-col,,,,,62506450.0,ns,1
single-col,,,,,62278461.0,ns,1
single-col,,,,,62728184.0,ns,1
single-col,,,,,63514879.0,ns,1
single-col,,,,,63907739.0,ns,1
single-col,,,,,63423316.0,ns,1
single-col,,,,,63833124.0,ns,1
single-col,,,,,63845811.0,ns,1
single-col,,,,,63446115.0,ns,1
single-col,,,,,63098128.0,ns,1
single-col,,,,,62648948.0,ns,1
single-col,,,,,62336072.0,ns,1
single-col,,,,,62997926.0,ns,1
single-col,,,,,62494321.0,ns,1
single-col,,,,,62132275.0,ns,1
single-col,,,,,61471236.0,ns,1
single-col,,,,,63604762.0,ns,1
single-col,,,,,62808181.0,ns,1
single-col,,,,,62553733.0,ns,1
single-col,,,,,63655866.0,ns,1
single-col,,,,,63781874.0,ns,1
single-col,,,,,63756093.0,ns,1
single-col,,,,,62944374.0,ns,1
single-col,,,,,62692162.0,ns,1
single-col,,,,,62793194.0,ns,1
single-col,,,,,62411490.0,ns,1
single-col,,,,,64976200.0,ns,1
single-col,,,,,65591638.0,ns,1
single-col,,,,,63754058.0,ns,1
single-col,,,,,63247511.0,ns,1
single-col,,,,,62717460.0,ns,1
single-col,,,,,62524239.0,ns,1
single-col,,,,,61490195.0,ns,1
single-col,,,,,61551409.0,ns,1
