group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single-col_covid,,,,,79448436.0,ns,1
single-col_covid,,,,,75686625.0,ns,1
single-col_covid,,,,,67882523.0,ns,1
single-col_covid,,,,,66202319.0,ns,1
single-col_covid,,,,,66665639.0,ns,1
single-col_covid,,,,,68783135.0,ns,1
single-col_covid,,,,,65916392.0,ns,1
single-col_covid,,,,,63666086.0,ns,1
single-col_covid,,,,,62068045.0,ns,1
single-col_covid,,,,,66936112.0,ns,1
single-col_covid,,,,,64023424.0,ns,1
single-col_covid,,,,,63271573.0,ns,1
single-col_covid,,,,,61807605.0,ns,1
single-col_covid,,,,,61981055.0,ns,1
single-col_covid,,,,,68430781.0,ns,1
single-col_covid,,,,,64254541.0,ns,1
single-col_covid,,,,,63422767.0,ns,1
single-col_covid,,,,,63542592.0,ns,1
single-col_covid,,,,,64420022.0,ns,1
single-col_covid,,,,,64548841.0,ns,1
single-col_covid,,,,,63796175.0,ns,1
single-col_covid,,,,,63449421.0,ns,1
single-col_covid,,,,,63287720.0,ns,1
single-col_covid,,,,,63517989.0,ns,1
single-col_covid,,,,,66320508.0,ns,1
single-col_covid,,,,,63792490.0,ns,1
single-col_covid,,,,,63097310.0,ns,1
single-col_covid,,,,,63282599.0,ns,1
single-col_covid,,,,,63488729.0,ns,1
single-col_covid,,,,,63137353.0,ns,1
single-col_covid,,,,,62723268.0,ns,1
single-col_covid,,,,,62129297.0,ns,1
single-col_covid,,,,,61738056.0,ns,1
single-col_covid,,,,,62529200.0,ns,1
single-col_covid,,,,,62864933.0,ns,1
single-col_covid,,,,,62496789.0,ns,1
single-col_covid,,,,,60815668.0,ns,1
single-col_covid,,,,,60754827.0,ns,1
single-col_covid,,,,,60741822.0,ns,1
single-col_covid,,,,,61372294.0,ns,1
single-col_covid,,,,,63468452.0,ns,1
single-col_covid,,,,,62742295.0,ns,1
single-col_covid,,,,,61970728.0,ns,1
single-col_covid,,,,,62970447.0,ns,1
single-col_covid,,,,,61709084.0,ns,1
single-col_covid,,,,,61311994.0,ns,1
single-col_covid,,,,,60966132.0,ns,1
single-col_covid,,,,,62012310.0,ns,1
single-col_covid,,,,,61025253.0,ns,1
single-col_covid,,,,,60860248.0,ns,1
single-col_covid,,,,,61259757.0,ns,1
single-col_covid,,,,,63402284.0,ns,1
single-col_covid,,,,,63807017.0,ns,1
single-col_covid,,,,,63959230.0,ns,1
single-col_covid,,,,,62567687.0,ns,1
single-col_covid,,,,,61607231.0,ns,1
single-col_covid,,,,,62956830.0,ns,1
single-col_covid,,,,,63154065.0,ns,1
single-col_covid,,,,,62542609.0,ns,1
single-col_covid,,,,,61521737.0,ns,1
single-col_covid,,,,,61277911.0,ns,1
single-col_covid,,,,,60903400.0,ns,1
single-col_covid,,,,,61763922.0,ns,1
single-col_covid,,,,,61373013.0,ns,1
single-col_covid,,,,,60998188.0,ns,1
single-col_covid,,,,,60758356.0,ns,1
single-col_covid,,,,,60642336.0,ns,1
single-col_covid,,,,,60470902.0,ns,1
single-col_covid,,,,,60947243.0,ns,1
single-col_covid,,,,,62039885.0,ns,1
single-col_covid,,,,,63320152.0,ns,1
single-col_covid,,,,,62378764.0,ns,1
single-col_covid,,,,,62762341.0,ns,1
single-col_covid,,,,,62826127.0,ns,1
single-col_covid,,,,,61535578.0,ns,1
single-col_covid,,,,,61026309.0,ns,1
single-col_covid,,,,,60935569.0,ns,1
single-col_covid,,,,,60680926.0,ns,1
single-col_covid,,,,,60567704.0,ns,1
single-col_covid,,,,,60393349.0,ns,1
single-col_covid,,,,,61100560.0,ns,1
single-col_covid,,,,,62255932.0,ns,1
single-col_covid,,,,,62803557.0,ns,1
single-col_covid,,,,,62258767.0,ns,1
single-col_covid,,,,,61473244.0,ns,1
single-col_covid,,,,,61771100.0,ns,1
single-col_covid,,,,,62508453.0,ns,1
single-col_covid,,,,,61735019.0,ns,1
single-col_covid,,,,,61435325.0,ns,1
single-col_covid,,,,,61395098.0,ns,1
single-col_covid,,,,,61263580.0,ns,1
single-col_covid,,,,,61643518.0,ns,1
single-col_covid,,,,,61710004.0,ns,1
single-col_covid,,,,,61425035.0,ns,1
single-col_covid,,,,,61215701.0,ns,1
single-col_covid,,,,,60971892.0,ns,1
single-col_covid,,,,,60648953.0,ns,1
single-col_covid,,,,,60931384.0,ns,1
single-col_covid,,,,,61084681.0,ns,1
single-col_covid,,,,,60992043.0,ns,1
