,train,eval
0,66504.99,66413.484
1,64449.715,64171.848
2,61733.37,61587.023
3,64008.516,64049.004
4,60803.645,61190.324
5,62261.633,63024.156
6,60926.42,61384.67
7,60814.645,61416.18
8,60352.02,61249.094
9,61236.1,61837.523
10,60283.57,60808.562
11,62333.22,63298.664
12,59452.887,60263.02
13,60073.32,60503.992
14,60503.945,61634.938
15,60049.7,60631.227
16,60794.17,61701.742
17,59370.473,59984.984
18,61689.75,62238.465
19,59833.945,60348.645
20,59139.027,60248.293
21,59205.996,60251.58
22,65221.676,66414.336
23,59317.516,60462.914
24,59638.652,60426.695
25,59224.75,59773.152
26,59058.934,59850.996
27,59636.707,60648.914
28,59526.92,60067.387
29,59174.113,60246.973
30,59231.26,60464.375
31,58838.41,59898.516
32,58834.17,60140.938
33,59051.73,59831.633
34,58913.902,59338.383
35,59927.56,60823.027
36,60218.406,61049.31
37,58682.93,59757.523
38,59180.582,60232.355
39,58455.62,59379.2
40,58923.21,59562.13
41,61909.75,62616.16
42,58749.773,59453.676
43,59930.355,60278.363
44,58100.96,58940.55
45,58534.402,59263.152
46,58501.76,59259.08
47,61265.965,61837.906
48,58240.18,58805.48
49,60278.312,61177.613
50,58590.703,59390.56
51,60664.203,61437.527
52,58228.883,58770.066
53,59513.918,60018.523
54,60555.445,61027.41
55,58390.168,58989.61
56,58555.195,59396.77
57,58269.027,58726.973
58,58290.496,58957.96
59,59389.992,60158.223
60,58943.855,59302.48
61,60485.57,60825.91
62,58463.125,59177.03
63,58045.137,58806.598
64,61358.973,61752.035
65,57991.4,58480.8
66,59402.516,60011.79
67,59195.996,60053.715
68,58096.746,58789.582
69,58196.81,58755.836
70,57763.906,58470.227
71,58433.492,59297.082
72,57731.65,58112.746
73,57844.645,58908.305
74,59717.582,60096.883
75,58297.766,59260.35
76,57735.8,58578.58
77,63268.45,64192.08
78,57830.7,58661.953
79,58833.797,59628.8
80,58018.273,58899.945
81,58147.016,58737.742
82,61588.285,62569.7
83,58061.33,58891.848
84,60312.656,61113.457
85,57844.746,58601.062
86,58876.055,59727.105
87,57689.99,58491.33
88,57692.03,58421.863
89,59741.6,60445.45
90,58492.234,59303.746
91,60161.48,60580.34
92,57706.38,58551.746
93,58054.387,59059.723
94,58238.875,58960.297
95,60015.094,61249.457
96,59166.965,59616.832
97,58498.59,59590.375
98,57986.01,58626.066
99,58188.332,58867.77
