,train,eval
0,60614.086,61641.977
1,62667.05,64279.645
2,64299.523,65373.18
3,58861.625,60517.215
4,58294.58,59668.773
5,57374.742,59322.16
6,56252.035,57919.594
7,55681.297,56832.31
8,55296.707,57133.355
9,56454.027,57963.848
10,53564.273,55402.965
11,55196.477,56810.758
12,54269.3,55808.53
13,53745.508,55670.2
14,54325.418,55629.043
15,52948.664,54844.45
16,54531.434,56386.77
17,52684.324,54546.965
18,55579.53,57483.25
19,52393.176,54102.066
20,52425.67,54636.68
21,56287.363,58520.246
22,53440.51,55231.125
23,52353.31,54220.977
24,51721.164,53826.348
25,51973.62,54479.586
26,53539.633,55083.875
27,52138.547,54022.215
28,51568.92,53605.523
29,52097.51,53939.098
30,51980.992,53470.758
31,55164.79,57000.516
32,51741.785,53634.164
33,51882.312,53937.035
34,52777.95,54822.816
35,51310.71,53430.9
36,51315.0,53788.316
37,52557.152,54657.59
38,52237.184,54239.746
39,56856.438,58726.19
40,52230.504,55314.934
41,52597.13,55349.098
42,51926.527,54676.617
43,52640.6,55291.723
44,50510.223,53277.594
45,51923.68,53872.62
46,50786.973,53378.312
47,50138.19,52977.41
48,51209.574,54023.223
49,51394.73,53774.24
50,50797.934,53470.754
51,51407.785,54330.043
52,50235.66,53270.094
53,50685.14,53580.27
54,51066.473,53713.832
55,51359.848,53998.203
56,53525.895,56281.37
57,51957.156,54894.44
58,51372.055,54296.113
59,52876.414,55894.06
60,50892.695,53933.863
61,50731.883,53762.777
62,49910.46,52931.94
63,51179.7,54417.48
64,50386.395,52879.957
65,52289.453,55617.87
66,52129.78,54818.71
67,51094.32,54169.754
68,50514.5,53236.457
69,50340.055,53391.848
70,50752.41,54237.14
71,50826.453,53953.53
72,52334.402,55212.734
73,51507.8,54481.875
74,51538.69,54454.227
75,53102.094,56222.434
76,50832.98,53645.77
77,50842.617,54511.3
78,52441.08,55842.133
79,51533.46,54492.79
80,50447.07,53317.65
81,49904.996,53115.895
82,50279.6,53551.08
83,50877.344,54271.984
84,52559.285,55452.25
85,54395.03,57247.26
86,50696.89,53914.633
87,50360.945,53809.344
88,56880.824,60161.605
89,52102.57,55926.227
90,51765.832,55211.387
91,50604.445,53870.332
92,51119.81,54332.973
93,49762.64,54000.91
94,50341.41,53508.39
95,51365.21,54718.848
96,50204.99,53646.812
97,50658.457,54331.88
98,50439.19,53608.746
99,51077.773,54351.613
100,49639.492,53373.406
101,50226.402,54144.6
102,49868.0,53088.426
103,51336.023,54793.844
104,52403.293,55507.008
105,49974.582,53672.63
106,50104.9,53944.504
107,50223.21,53765.266
