,train,eval
0,115728.22,114514.414
1,115710.375,114498.234
2,115694.48,114483.79
3,115679.69,114470.32
4,115666.06,114457.805
5,115652.67,114445.52
6,115640.14,114433.89
7,115628.336,114422.84
8,115616.805,114412.12
9,115605.74,114401.74
10,115594.914,114391.55
11,115584.29,114381.5
12,115573.766,114371.51
13,115563.39,114361.52
14,115552.91,114351.51
15,115542.31,114341.35
16,115531.59,114330.99
17,115520.61,114320.34
18,115509.37,114309.36
19,115497.82,114298.164
20,115486.02,114286.7
21,115473.96,114274.94
22,115461.67,114262.96
23,115449.055,114250.66
24,115436.07,114237.97
25,115422.76,114224.82
26,115408.945,114211.27
27,115394.6,114197.29
28,115379.734,114182.664
29,115364.16,114167.43
30,115347.95,114151.6
31,115331.25,114135.24
32,115314.14,114118.36
33,115296.375,114101.0
34,115277.94,114082.84
35,115258.81,114063.984
36,115238.945,114044.6
37,115218.33,114024.44
38,115196.89,114003.48
39,115174.555,113981.53
40,115151.234,113958.63
41,115126.81,113934.7
42,115101.234,113909.64
43,115074.47,113883.37
44,115046.336,113855.805
45,115016.85,113826.836
46,114985.7,113796.41
47,114952.836,113764.17
48,114918.164,113730.164
49,114881.625,113694.25
50,114842.78,113656.125
51,114801.695,113615.81
52,114757.875,113572.76
53,114711.43,113527.16
54,114661.664,113478.266
55,114608.73,113426.25
56,114552.31,113370.83
57,114492.04,113311.64
58,114427.96,113248.67
59,114359.05,113180.984
60,114285.25,113108.48
61,114206.19,113030.74
62,114121.055,112947.234
63,114029.46,112857.25
64,113930.4,112760.05
65,113823.25,112654.79
66,113707.18,112540.72
67,113580.19,112415.85
68,113441.67,112279.64
69,113290.63,112130.88
70,113125.35,111968.16
71,112945.016,111790.57
72,112747.04,111595.59
73,112530.09,111381.914
74,112291.836,111147.18
75,112029.06,110888.19
76,111738.875,110602.42
77,111418.35,110286.63
78,111061.83,109935.49
79,110665.39,109544.98
80,110225.08,109111.125
81,109731.664,108625.04
82,109177.27,108079.24
83,108551.766,107463.7
84,107843.234,106766.805
85,107038.805,105976.16
86,106123.62,105077.29
87,105074.125,104047.79
88,103871.53,102869.24
89,102495.945,101522.47
90,100910.2,99971.59
91,99096.875,98202.766
92,97028.2,96190.664
93,94688.37,93920.06
94,92085.91,91401.45
95,89244.78,88653.43
96,86268.23,85784.21
97,83312.875,82925.94
98,80548.42,80254.19
99,78139.5,77913.08
100,76190.766,76003.625
101,74679.05,74499.33
102,73538.43,73359.4
103,72677.055,72473.75
104,72002.72,71785.12
105,71457.914,71217.25
106,70994.11,70748.7
107,70583.62,70328.32
108,70211.08,69942.07
109,69874.414,69601.36
110,69569.875,69296.78
111,69281.695,69007.37
112,69026.92,68739.336
113,68759.07,68481.54
114,68534.06,68256.57
115,68309.04,68039.93
116,68090.875,67827.15
117,67897.914,67637.766
118,67702.25,67442.34
119,67523.28,67275.03
120,67350.84,67109.89
121,67184.0,66949.414
122,67028.945,66799.984
123,66869.68,66649.305
124,66720.695,66502.27
125,66580.32,66370.31
126,66440.49,66237.586
127,66313.4,66112.13
128,66170.58,65982.94
129,66039.42,65860.305
130,65923.61,65741.7
131,65802.46,65629.016
132,65671.555,65523.555
133,65578.21,65441.016
134,65437.754,65300.586
135,65329.37,65192.33
136,65231.93,65119.65
137,65115.527,65021.492
138,64994.434,64903.723
139,64928.355,64852.59
140,64788.008,64713.527
141,64685.164,64621.766
142,64605.74,64539.934
143,64492.76,64451.742
144,64395.13,64350.777
145,64336.65,64322.45
146,64238.45,64206.2
147,64119.95,64120.266
148,64041.7,64057.87
149,63956.234,63960.645
150,63864.79,63906.152
151,63830.68,63853.895
152,63689.14,63738.875
153,63611.316,63669.055
154,63529.938,63610.09
155,63453.375,63534.773
156,63387.008,63483.02
157,63296.78,63412.27
158,63223.566,63346.4
159,63169.75,63321.797
160,63079.312,63224.105
161,63020.73,63197.094
162,62938.76,63123.992
163,62880.418,63065.875
164,62801.453,62998.742
165,62757.78,62947.785
166,62720.477,62967.414
167,62605.156,62838.945
168,62547.086,62803.848
169,62489.25,62738.227
170,62425.98,62684.2
171,62365.09,62635.152
172,62295.047,62595.24
173,62239.285,62554.652
174,62177.676,62503.18
175,62126.05,62466.434
176,62068.02,62399.246
177,62008.062,62356.676
178,61955.06,62337.35
179,61905.24,62274.582
180,61844.12,62232.754
181,61791.344,62206.125
182,61748.97,62184.855
183,61693.25,62106.79
184,61657.105,62067.945
185,61584.89,62032.86
186,61535.22,61992.36
187,61485.926,61960.32
188,61480.094,62004.074
189,61409.504,61884.137
190,61342.777,61851.316
191,61297.254,61825.246
192,61259.94,61794.082
193,61203.09,61736.363
194,61158.844,61712.01
195,61111.453,61672.547
196,61096.07,61697.188
197,61023.26,61603.73
198,60986.04,61556.72
199,60944.312,61528.305
200,60906.46,61538.164
201,60854.117,61469.19
202,60841.785,61493.88
203,60768.94,61405.652
204,60729.438,61364.863
205,60705.004,61331.31
206,60647.258,61314.25
207,60612.555,61279.242
208,60567.58,61249.4
209,60530.066,61221.496
210,60498.652,61212.527
211,60451.195,61172.215
212,60422.773,61153.418
213,60379.89,61128.08
214,60339.758,61079.27
215,60301.953,61055.766
216,60265.01,61018.355
217,60260.57,61049.72
218,60191.613,60965.895
219,60156.207,60941.27
220,60179.473,60925.32
221,60086.453,60888.723
222,60052.215,60854.523
223,60016.633,60835.145
224,60003.1,60836.504
225,59962.855,60816.27
226,59914.668,60742.77
227,59879.773,60721.19
228,59848.78,60692.4
229,59822.133,60667.97
230,59778.223,60643.35
231,59790.297,60694.516
232,59726.766,60636.113
233,59682.824,60564.21
234,59665.59,60540.496
235,59622.234,60519.4
236,59603.492,60494.96
237,59554.684,60486.113
238,59547.496,60444.836
239,59490.93,60425.926
240,59509.055,60419.92
241,59428.938,60374.277
242,59410.86,60385.746
243,59368.45,60331.543
244,59360.754,60345.195
245,59333.996,60292.008
246,59280.867,60278.68
247,59249.883,60238.523
248,59219.117,60213.312
249,59189.973,60190.266
250,59163.414,60160.46
251,59157.047,60133.32
252,59142.008,60181.316
253,59080.863,60115.418
254,59048.7,60070.83
255,59035.797,60096.387
256,58989.94,60047.97
257,58969.04,60015.527
258,58934.332,60002.55
259,58906.832,59964.324
260,58885.312,59954.473
261,58854.88,59930.285
262,58825.22,59903.816
263,58806.473,59916.363
264,58775.797,59865.92
265,58738.547,59838.37
266,58716.016,59830.574
267,58687.156,59794.35
268,58665.24,59770.91
269,58636.465,59751.28
270,58613.438,59747.21
271,58583.08,59717.223
272,58557.09,59699.094
273,58540.02,59716.85
274,58504.17,59657.65
275,58483.434,59628.652
276,58469.734,59622.07
277,58446.727,59599.36
278,58401.82,59571.543
279,58375.99,59542.72
280,58357.22,59553.332
281,58391.086,59595.785
282,58311.492,59494.65
283,58320.312,59490.23
284,58314.047,59552.504
285,58234.5,59455.754
286,58231.363,59475.7
287,58259.383,59447.0
288,58164.32,59375.145
289,58137.984,59379.03
290,58114.832,59348.945
291,58082.39,59316.844
292,58185.19,59382.46
293,58032.562,59280.402
294,58019.957,59277.016
295,57999.312,59255.453
296,57978.297,59272.76
297,57939.637,59231.766
298,57954.992,59226.38
299,57893.582,59171.59
300,57877.81,59165.57
301,57855.61,59134.31
302,57834.47,59147.08
303,57802.34,59110.773
304,57788.727,59091.395
305,57773.043,59096.695
306,57759.03,59090.383
307,57750.45,59089.74
308,57692.242,59010.438
309,57672.203,59011.79
310,57655.426,58997.96
311,57634.74,58980.5
312,57622.73,58977.945
313,57610.19,58991.227
314,57564.71,58926.29
315,57545.516,58914.324
316,57519.668,58889.6
317,57511.594,58856.04
318,57489.793,58843.68
319,57481.56,58844.312
320,57452.19,58806.11
321,57505.812,58919.816
322,57403.316,58790.188
323,57377.28,58768.73
324,57416.246,58834.066
325,57335.734,58747.1
326,57314.348,58713.457
327,57324.31,58755.266
328,57273.934,58682.03
329,57275.43,58702.45
330,57239.336,58668.152
331,57213.613,58641.04
332,57238.09,58639.12
333,57178.125,58617.785
334,57160.07,58606.56
335,57175.324,58641.18
336,57174.707,58628.684
337,57133.71,58571.555
338,57102.188,58566.582
339,57067.33,58530.895
340,57066.812,58540.188
341,57050.902,58509.51
342,57031.29,58518.73
343,57022.85,58494.332
344,56970.2,58424.17
345,56947.613,58432.242
346,56925.406,58419.285
347,56933.91,58406.39
348,56885.906,58382.152
349,56871.15,58351.16
350,56846.09,58356.31
351,56871.023,58376.844
352,56829.598,58337.973
353,56789.1,58306.527
354,56838.504,58319.48
355,56795.79,58357.42
356,56816.707,58323.223
357,56716.043,58245.22
358,56709.285,58230.652
359,56694.63,58217.984
360,56664.805,58200.5
361,56647.77,58197.516
362,56667.043,58230.418
363,56606.938,58158.15
364,56618.52,58188.754
365,56620.926,58173.336
366,56586.824,58153.223
367,56536.64,58118.047
368,56551.98,58119.758
369,56530.297,58102.082
370,56555.28,58114.176
371,56496.816,58073.812
372,56449.992,58049.855
373,56481.633,58048.33
374,56429.156,58023.223
375,56391.57,57997.035
376,56379.83,58001.434
377,56453.145,58095.01
378,56349.344,57955.62
379,56369.414,58010.996
380,56339.316,57993.496
381,56293.27,57923.375
382,56311.164,57933.914
383,56273.188,57888.17
384,56236.1,57886.902
385,56255.92,57910.035
386,56220.938,57874.9
387,56223.68,57890.97
388,56170.16,57832.574
389,56172.414,57828.72
390,56183.473,57863.277
391,56169.56,57840.324
392,56117.586,57803.945
393,56127.637,57814.64
394,56161.434,57828.59
395,56052.496,57722.184
396,56048.625,57727.14
397,56025.46,57701.14
398,56032.56,57738.62
399,55990.895,57690.848
400,55982.31,57660.348
401,55951.832,57662.008
402,55946.164,57663.715
403,55950.633,57644.027
404,55912.156,57624.023
405,55895.785,57595.793
406,55874.76,57591.58
407,55863.266,57580.297
408,55977.54,57716.062
409,55833.176,57577.84
410,55815.895,57566.07
411,55795.227,57542.504
412,55785.297,57552.023
413,55763.594,57518.22
414,55755.98,57499.844
415,55738.42,57483.953
416,55713.254,57471.227
417,55701.402,57462.31
418,55685.125,57451.312
419,55914.594,57664.26
420,55792.69,57599.246
421,55652.973,57415.617
422,55698.58,57481.75
423,55620.2,57406.496
424,55620.34,57417.016
425,55600.047,57381.566
426,55569.91,57373.07
427,55546.562,57359.51
428,55550.883,57324.434
429,55678.3,57492.824
430,55601.594,57422.824
431,55498.89,57354.99
432,55523.52,57361.293
433,55474.13,57292.13
434,55455.742,57311.16
435,55560.887,57357.566
436,55411.887,57240.15
437,55394.96,57238.07
438,55385.75,57235.89
439,55374.484,57221.668
440,55354.816,57226.035
441,55336.766,57202.742
442,55320.2,57167.633
443,55323.98,57195.13
444,55310.09,57186.652
445,55302.273,57171.684
446,55265.99,57152.67
447,55257.477,57136.445
448,55240.895,57111.69
449,55236.453,57142.395
450,55216.9,57078.434
451,55331.977,57215.066
452,55201.23,57090.75
453,55205.676,57116.234
454,55174.383,57095.41
455,55135.266,57037.445
456,55119.33,57051.258
457,55123.207,57002.45
458,55100.375,57026.87
459,55083.555,56999.242
460,55091.434,57041.773
461,55083.906,57008.99
462,55263.906,57186.273
463,55011.992,56950.754
464,55053.734,56985.418
465,55006.586,56945.977
466,54973.035,56935.164
467,54987.42,56928.883
468,54959.816,56935.207
469,54949.82,56923.273
470,54945.707,56924.15
471,54980.465,56953.17
472,54883.55,56856.953
473,54888.727,56864.555
474,54863.78,56838.35
475,54875.324,56885.594
476,54861.98,56859.793
477,54809.094,56798.254
478,54887.195,56840.375
479,54788.8,56795.32
480,54802.902,56805.707
481,54775.47,56786.824
482,54739.613,56753.33
483,54782.016,56770.793
484,54707.855,56727.17
485,54717.516,56735.008
486,54750.016,56778.31
487,54706.496,56714.3
488,54675.49,56669.77
489,54671.684,56717.547
490,54689.117,56734.824
491,54634.246,56661.758
492,54609.316,56638.96
493,54583.766,56632.473
494,54578.89,56618.527
495,54602.676,56645.992
496,54560.324,56639.316
497,54537.17,56621.84
498,54521.22,56600.51
499,54517.72,56600.594
500,54502.29,56576.92
501,54502.39,56577.383
502,54466.586,56561.3
503,54515.016,56589.87
504,54473.113,56534.86
505,54491.87,56590.71
506,54432.254,56518.855
507,54385.64,56458.086
508,54487.777,56552.65
509,54361.957,56440.36
510,54365.14,56459.766
511,54360.15,56452.51
512,54322.34,56425.26
513,54331.004,56423.48
514,54292.52,56428.023
515,54347.14,56463.25
516,54262.816,56371.613
517,54343.74,56468.258
518,54233.26,56354.117
519,54258.824,56392.684
520,54240.89,56368.42
521,54263.773,56394.45
522,54206.22,56353.504
523,54231.977,56382.97
524,54139.844,56299.56
525,54128.188,56262.344
526,54145.53,56297.215
527,54129.22,56291.465
528,54124.37,56331.61
529,54097.496,56306.5
530,54094.277,56282.52
531,54063.65,56249.562
532,54071.566,56233.617
533,54096.79,56262.19
534,54089.484,56273.324
535,54070.93,56230.586
536,53976.152,56183.957
537,53955.777,56161.414
538,54023.594,56199.43
539,54008.37,56209.44
540,53906.6,56119.94
541,53899.484,56139.562
542,54186.387,56357.7
543,53892.867,56114.523
544,53853.727,56092.67
545,53890.445,56109.1
546,53970.63,56163.75
547,53831.41,56083.35
548,53806.633,56042.164
549,53799.516,56023.03
550,53778.438,56051.246
551,53811.312,56048.0
552,53776.633,56025.14
553,53946.824,56220.242
554,53727.504,56004.008
