,train,eval
0,114298.25,113156.62
1,112541.01,111444.195
2,110749.164,109695.055
3,108832.234,107823.76
4,106738.7,105779.66
5,104425.98,103521.34
6,101846.76,101003.09
7,98995.375,98218.164
8,95899.71,95192.21
9,92604.91,91968.03
10,89221.695,88652.055
11,85883.03,85372.69
12,82762.88,82296.37
13,79989.09,79550.914
14,77655.53,77226.66
15,75795.72,75362.69
16,74368.83,73917.22
17,73294.36,72824.61
18,72497.23,72007.72
19,71893.79,71386.05
20,71423.71,70902.76
21,71041.17,70513.586
22,70717.61,70184.266
23,70433.78,69898.86
24,70179.07,69646.484
25,69943.984,69413.78
26,69725.516,69198.75
27,69519.95,68998.54
28,69324.52,68808.91
29,69139.734,68633.37
30,68962.336,68463.01
31,68793.9,68304.32
32,68633.46,68150.13
33,68478.96,68006.73
34,68331.31,67866.695
35,68189.76,67736.04
36,68052.59,67609.78
37,67920.15,67486.71
38,67793.42,67368.62
39,67670.65,67252.62
40,67552.8,67147.29
41,67437.25,67038.05
42,67327.91,66939.625
43,67216.68,66836.57
44,67113.41,66739.99
45,67009.734,66648.32
46,66910.1,66557.13
47,66813.63,66465.734
48,66720.2,66385.8
49,66635.89,66309.914
50,66537.79,66216.695
51,66450.43,66137.414
52,66366.68,66064.19
53,66281.87,65986.19
54,66198.82,65912.34
55,66118.97,65837.664
56,66039.54,65766.48
57,65962.59,65696.016
58,65886.484,65628.23
59,65812.71,65562.48
60,65737.45,65497.645
61,65665.266,65433.777
62,65594.01,65372.598
63,65524.285,65315.605
64,65454.41,65255.363
65,65387.195,65197.484
66,65319.844,65137.12
67,65252.176,65078.285
68,65185.188,65020.88
69,65119.867,64963.504
70,65054.977,64903.152
71,64991.71,64849.62
72,64928.418,64794.72
73,64865.668,64744.15
74,64804.19,64690.934
75,64745.707,64638.09
76,64681.8,64582.9
77,64622.16,64530.215
78,64563.492,64478.805
79,64503.492,64431.027
80,64445.684,64385.562
81,64387.95,64335.61
82,64330.516,64281.87
83,64273.81,64235.883
84,64217.32,64191.582
85,64161.484,64146.094
86,64106.496,64095.336
87,64052.113,64048.8
88,63997.297,64003.777
89,63944.19,63965.52
90,63892.098,63916.543
91,63842.812,63883.69
92,63787.043,63833.793
93,63733.883,63787.785
94,63682.85,63744.387
95,63634.945,63706.11
96,63583.426,63667.477
97,63534.605,63633.01
98,63483.562,63584.348
